Name,Year,Publisher,Global_Sales
Wii Sports,2006,Nintendo,82.74
Super Mario Bros.,1985,Nintendo,40.24
Mario Kart Wii,2008,Nintendo,35.82
Wii Sports Resort,2009,Nintendo,33
Pokemon Red/Pokemon Blue,1996,Nintendo,31.37
Tetris,1989,Nintendo,30.26
New Super Mario Bros.,2006,Nintendo,30.01
Wii Play,2006,Nintendo,29.02
New Super Mario Bros. Wii,2009,Nintendo,28.62
Duck Hunt,1984,Nintendo,28.31
Nintendogs,2005,Nintendo,24.76
Mario Kart DS,2005,Nintendo,23.42
Pokemon Gold/Pokemon Silver,1999,Nintendo,23.1
Wii Fit,2007,Nintendo,22.72
Wii Fit Plus,2009,Nintendo,22
Kinect Adventures!,2010,Microsoft Game Studios,21.82
Grand Theft Auto V,2013,Take-Two Interactive,21.4
Grand Theft Auto: San Andreas,2004,Take-Two Interactive,20.81
Super Mario World,1990,Nintendo,20.61
Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,20.22
Pokemon Diamond/Pokemon Pearl,2006,Nintendo,18.36
Super Mario Land,1989,Nintendo,18.14
Super Mario Bros. 3,1988,Nintendo,17.28
Grand Theft Auto V,2013,Take-Two Interactive,16.38
Grand Theft Auto: Vice City,2002,Take-Two Interactive,16.15
Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,15.85
Pokemon Black/Pokemon White,2010,Nintendo,15.32
Brain Age 2: More Training in Minutes a Day,2005,Nintendo,15.3
Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,14.98
Call of Duty: Modern Warfare 3,2011,Activision,14.76
Pokémon Yellow: Special Pikachu Edition,1998,Nintendo,14.64
Call of Duty: Black Ops,2010,Activision,14.64
Pokemon X/Pokemon Y,2013,Nintendo,14.35
Call of Duty: Black Ops 3,2015,Activision,14.24
Call of Duty: Black Ops II,2012,Activision,14.03
Call of Duty: Black Ops II,2012,Activision,13.73
Call of Duty: Modern Warfare 2,2009,Activision,13.51
Call of Duty: Modern Warfare 3,2011,Activision,13.46
Grand Theft Auto III,2001,Take-Two Interactive,13.1
Super Smash Bros. Brawl,2008,Nintendo,13.04
Call of Duty: Black Ops,2010,Activision,12.73
Animal Crossing: Wild World,2005,Nintendo,12.27
Mario Kart 7,2011,Nintendo,12.21
Halo 3,2007,Microsoft Game Studios,12.14
Grand Theft Auto V,2014,Take-Two Interactive,11.98
Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,11.9
Super Mario 64,1996,Nintendo,11.89
Gran Turismo 4,2004,Sony Computer Entertainment,11.66
Super Mario Galaxy,2007,Nintendo,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,11.33